

4.3.14 - Tabela Operações com Isenção da Contribuição Social (CST 07) -
Atualizada em 28/04/2026:

|Código |Descrição do Produto                           |NCM              |Início de |Término de|
|       |                                               |                 |Escrituraç|Escrituraç|
|       |                                               |                 |ão        |ão        |
|       |Estados, do Distrito Federal e dos Municípios, |                 |          |          |
|       |pelas empresas públicas e sociedades de        |                 |          |          |
|       |economia mista                                 |                 |          |          |
|902    |Receita da instituição privada de ensino       |-                |01/2011   |          |
|       |superior, com fins lucrativos ou sem fins      |                 |          |          |
|       |lucrativos não beneficente, que aderir ao      |                 |          |          |
|       |Programa Universidade para Todos (Prouni), no  |                 |          |          |
|       |período de vigência do termo de adesão,        |                 |          |          |
|       |decorrentes da realização de atividades de     |                 |          |          |
|       |ensino superior, proveniente de cursos de      |                 |          |          |
|       |graduação ou cursos seqüenciais de formação    |                 |          |          |
|       |específica                                     |                 |          |          |
|903    |Receita bruta de venda a varejo dos componentes|                 |09/2012   |12/2018   |
|       |e equipamentos de rede, terminais e            |                 |          |          |
|       |transceptores definidos em regulamento que     |                 |          |          |
|       |sejam dedicados aos serviços de                |                 |          |          |
|       |telecomunicações prestados por meio das        |                 |          |          |
|       |subfaixas de radiofrequência de 451 MHz a 458  |                 |          |          |
|       |MHz e de 461 MHz a 468 MHz, assim como por meio|                 |          |          |
|       |de estações terrenas satelitais de pequeno     |                 |          |          |
|       |porte que contribuam com os objetivos de       |                 |          |          |
|       |implantação do PNBL                            |                 |          |          |
|904    |Desperdícios, resíduos ou aparas de plástico,  |39.15, 47.07,    |23/04/2026|          |
|       |de papel ou cartão, de vidro, de ferro ou aço, |70.01, 72.04,    |          |          |
|       |de cobre, de níquel, de alumínio, de chumbo, de|74.04, 75.03,    |          |          |
|       |zinco e de estanho, e demais desperdícios e    |76.02, 78.02,    |          |          |
|       |resíduos metálicos do Capítulo 81 da Tipi,     |79.02, 80.02,    |          |          |
|       |quando vendidos para pessoa jurídica que apure |81019700         |          |          |
|       |o imposto de renda com base no lucro real e que|81029700,        |          |          |
|       |utilize os referidos insumos como matéria-prima|81033000,        |          |          |
|       |ou material secundário.                        |81042000,        |          |          |
|       |                                               |81043000         |          |          |
|       |                                               |81053000,        |          |          |
|       |                                               |81060090         |          |          |
|       |                                               |81073000,        |          |          |
|       |                                               |81083000         |          |          |
|       |                                               |81093000,        |          |          |
|       |                                               |81102000         |          |          |
|       |                                               |81110090,        |          |          |
|       |                                               |81121300         |          |          |
|       |                                               |81122200,        |          |          |
|       |                                               |81125200         |          |          |
|       |                                               |81129200,        |          |          |
|       |                                               |81130090         |          |          |
|999    |Código genérico - Operações com Isenção        |-                |01/2011   |          |

OBS: Legislação de Referência:
1. Grupo 100 - MERCADORIAS E SERVIÇOS
Códigos 101 a 104: Medida Provisória nº 2.158-35, de 2001, art. 14

2. Grupo 200 - ENTIDADES ESPECIAIS (COFINS)
Código 201: Constituição Federal, art. 195, § 7º, e Medida Provisória nº
2.158-35, de 2001, art. 13, art. 14, inciso X, e art. 17.
Código 202: Lei nº 12.101, de 2009, art. 29

3. Grupo 300 - ITAIPU BINACIONAL
Código 301: Lei nº 10.925, de 2004, art. 14

4. Grupo 400 - COPA DAS CONFEDERAÇÕES FIFA 2013 E COPA DO MUNDO FIFA 2014
Código 401: Lei nº 12.350, de 2010, art. 3º
Código 402: Lei nº 12.350, de 2010, art. 8º
Código 403: Lei nº 12.350, de 2010, art. 9º
Código 404: Lei nº 12.780, de 2013, art. 4º
Código 405: Lei nº 12.780, de 2013, art. 8º
Código 406: Lei nº 12.780, de 2013, art. 9º
Código 407: Lei nº 12.780, de 2013, art. 10



4. Grupo 900 - DEMAIS RECEITAS COM ISENÇÃO
Código 901: Medida Provisória nº 2.158-35, de 2001, art. 14
Código 902: Lei 11.096, de 2005, art. 8º e IN SRF Nº 456, de 2004
Código 903: Lei nº 12.715, de 2012, art. 37
Código 904: Lei nº 11.196/2005, art. 48, na redação dada pela Lei nº
15.394, de 22/04/2026.


