

   Tabela 4.3.13 - Produtos Sujeitos à Alíquota Zero da Contribuição Social
   (CST 06) - Versão 1.35 - Atualizada em 26/06/2026.

|Códig|Descrição do Produto                                   |NCM          |Início de  |Término de   |
|o    |                                                       |             |Escrituraçã|Escrituração |
|     |                                                       |             |o          |Mês/Ano      |
|     |preço de venda de cada sistema não exceda a R$ 4.000,00|             |           |             |
|     |(dois mil e quinhentos reais), produzidas no País      |             |           |             |
|     |conforme processo produtivo básico estabelecido pelo   |             |           |             |
|     |Poder Executivo                                        |             |           |             |
|404  |Venda a varejo de teclado (unidade de entrada) e de    |-            |01/2011    |30/11/2015   |
|     |mouse (unidade de entrada) classificados,              |             |           |             |
|     |respectivamente, nos códigos 8471.60.52 e 8471.60.53 da|             |           |             |
|     |TIPI, quando acompanharem a unidade de processamento   |             |           |             |
|     |digital classificada no código 8471.50.10 da TIPI,     |             |           |             |
|     |desde que o preço de venda de cada conjunto não exceda |             |           |             |
|     |a R$ 2.100,00 (dois mil e cem reais).                  |             |           |             |
|405  |PADIS - Programa de Apoio ao Desenvolvimento           |-            |01/2011    |             |
|     |Tecnológico da Indústria de Semicondutores             |             |           |             |
|     |- Venda, no mercado interno para PJ habilitada no      |             |           |             |
|     |PADIS, de máquinas, aparelhos, instrumentos,           |             |           |             |
|     |equipamentos, para incorporação ao ativo imobilizado da|             |           |             |
|     |adquirente                                             |             |           |             |
|     |- Venda, no mercado interno para PJ habilitada no      |             |           |             |
|     |PADIS, de ferramentas computacionais (softwares)       |             |           |             |
|     |- Venda, no mercado interno para PJ habilitada no      |             |           |             |
|     |PADIS, de insumos                                      |             |           |             |
|     |- Vendas dos dispositivos eletrônicos semicondutores e |             |           |             |
|     |mostradores de informação (displays) por PJ habilitada |             |           |             |
|     |no PADIS                                               |             |           |             |
|     |- Venda de projeto (design), por PJ habilitada no PADIS|             |           |             |
|406  |PATVD - Programa de Apoio ao Desenvolvimento           |-            |01/2011    |             |
|     |Tecnológico da Indústria de Equipamentos para a TV     |             |           |             |
|     |Digital                                                |             |           |             |
|     |- Venda, no mercado interno para PJ habilitada no      |             |           |             |
|     |PATVD, de máquinas, aparelhos, instrumentos,           |             |           |             |
|     |equipamentos, para incorporação ao ativo imobilizado da|             |           |             |
|     |adquirente                                             |             |           |             |
|     |- Venda, no mercado interno para PJ habilitada no      |             |           |             |
|     |PATVD, de ferramentas computacionais (softwares)       |             |           |             |
|     |- Venda, no mercado interno para PJ habilitada no      |             |           |             |
|     |PATVD, de insumos                                      |             |           |             |
|     |- Vendas dos equipamentos transmissores por PJ         |             |           |             |
|     |habilitada no PATVD                                    |             |           |             |
|407  |Venda a varejo de máquinas automáticas de processamento|-            |03/04/2012 |30/11/2015   |
|     |de dados, portáteis, sem teclado, que tenham uma       |             |           |             |
|     |unidade central de processamento com entrada e saída de|             |           |             |
|     |dados por meio de uma tela sensível ao toque de área   |             |           |             |
|     |superior a 140 cm2 e inferior a 600 cm2, e que não     |             |           |             |
|     |possuam função de comando remoto (Tablet PC),          |             |           |             |
|     |classificadas na subposição 8471.41 da Tipi, produzidas|             |           |             |
|     |no País conforme processo produtivo básico estabelecido|             |           |             |
|     |pelo Poder Executivo, desde que o preço de venda não   |             |           |             |
|     |exceda R$ 2.500,00 (dois mil e quinhentos reais).      |             |           |             |
|408  |Venda, a varejo de modems, classificados nas posições  |-            |03/04/2012 |08/04/2013   |
|     |8517.62.55, 8517.62.62 ou 8517.62.72 da TIPI, desde que|             |           |             |
|     |o preço de venda não exceda R$ 150,00 (cento e         |             |           |             |
|     |cinquenta reais).                                      |             |           |             |
|408  |Venda, a varejo de modems, classificados nas posições  |-            |09/04/2013 |30/11/2015   |
|     |8517.62.55, 8517.62.62 ou 8517.62.72 da TIPI, desde que|             |           |             |
|     |o preço de venda não exceda R$ 200,00 (duzentos reais).|             |           |             |
|409  |Venda a varejo de telefones portáteis de redes         |             |18/09/2012 |08/04/2013   |
|     |celulares que possibilitem o acesso à internet em alta |             |           |             |
|     |velocidade do tipo smartphone classificados na posição |             |           |             |
|     |8517.12.31 da Tipi, produzidos no País conforme        |             |           |             |
|     |processo produtivo básico estabelecido pelo Poder      |             |           |             |
|     |Executivo.                                             |             |           |             |
|409  |Venda a varejo de telefones portáteis de redes         |-            |09/04/2013 |30/11/2015   |
|     |celulares que possibilitem o acesso à Internet em alta |             |           |             |
|     |velocidade do tipo smartphone classificados na posição |             |           |             |
|     |8517.12.31 da TIPI, produzidos no País conforme        |             |           |             |
|     |processo produtivo básico, que obedeçam aos requisitos |             |           |             |
|     |técnicos constantes de ato do Ministro de Estado das   |             |           |             |
|     |Comunicações, cujo valor de venda, a varejo, não exceda|             |           |             |
|     |a R$ 1.500,00 (mil e quinhentos reais).                |             |           |             |
|410  |Venda a varejo de equipamentos terminais de clientes   |             |18/09/2012 |08/04/2013   |
|     |(roteadores digitais) classificados nas posições       |             |           |             |
|     |8517.62.41 e 8517.62.77 da Tipi, desenvolvidos no País |             |           |             |
|     |conforme processo produtivo básico estabelecido pelo   |             |           |             |
|     |Poder Executivo.                                       |             |           |             |
|410  |Venda a varejo de equipamentos terminais de clientes   |-            |09/04/2013 |30/11/2015   |
|     |(roteadores digitais) classificados nas posições       |             |           |             |
|     |8517.62.41 e 8517.62.77 da TIPI, desenvolvidos e       |             |           |             |
|     |produzidos no País conforme processo produtivo básico  |             |           |             |
|     |cujo valor de venda, a varejo, não exceda a R$ 150,00  |             |           |             |
|     |(cento e cinquenta reais).                             |             |           |             |
|411  |Venda dos produtos relacionados nos códigos 401, 402,  |             |01/2011    |30/11/2015   |
|     |403, 404, 407, 408, 409 e 410 desta tabela, a pessoas  |             |           |             |
|     |jurídicas de direito privado ou por órgãos e entidades |             |           |             |
|     |da Administração Pública Federal, Estadual ou Municipal|             |           |             |
|     |e do Distrito Federal, direta ou indireta, às fundações|             |           |             |
|     |instituídas e mantidas pelo Poder Público e às demais  |             |           |             |
|     |organizações sob o controle direto ou indireto da      |             |           |             |
|     |União, dos Estados, dos Municípios ou do Distrito      |             |           |             |
|     |Federal.                                               |             |           |             |
|412  |Venda dos produtos relacionados nos códigos 401, 402,  |             |01/2011    |30/11/2015   |
|     |403, 404, 407, 408, 409 e 410 desta tabela, a          |             |           |             |
|     |sociedades de arrendamento mercantil leasing.          |             |           |             |
|413  |Receita decorrente da venda de bens de defesa nacional |             |21/09/2012 |             |
|     |definidos em ato do Poder Executivo efetuada por pessoa|             |           |             |
|     |jurídica beneficiária do RETID à União, para uso       |             |           |             |
|     |privativo das Forças Armadas, exceto para uso pessoal e|             |           |             |
|     |administrativo                                         |             |           |             |
|414  |Receita decorrente da prestação de serviços de         |             |21/09/2012 |             |
|     |tecnologia industrial básica, projetos, pesquisa,      |             |           |             |
|     |desenvolvimento e inovação tecnológica, assistência    |             |           |             |
|     |técnica e transferência de tecnologia por pessoa       |             |           |             |
|     |jurídica beneficiária do RETID à União, para uso       |             |           |             |
|     |privativo das Forças Armadas, exceto para uso pessoal e|             |           |             |
|     |administrativo                                         |             |           |             |
|900  |DEMAIS PRODUTOS E RECEITAS                             |             |           |             |
|901  |Papel destinado à impressão de jornais                 |-            |01/2011    |30/04/2016   |
|902  |Papéis classificados nos códigos 4801.00.10,           |-            |01/2011    |             |
|     |4801.00.90, 4802.61.91, 4802.61.99, 4810.19.89 e       |             |           |             |
|     |4810.22.90, todos da TIPI, destinados à impressão de   |             |           |             |
|     |periódicos                                             |             |           |30/04/2016   |
|903  |Livros, conforme definido no art. 2o da Lei no         |-            |01/2011    |             |
|     |10.753/03                                              |             |           |             |
|904  |Preparações compostas não-alcoólicas, classificadas no |-            |01/2011    |             |
|     |código 2106.90.10 Ex 01 da TIPI, destinadas à          |             |           |             |
|     |elaboração de bebidas pelas pessoas jurídicas          |             |           |             |
|     |industriais dos produtos referidos no art. 58-A da Lei |             |           |             |
|     |no 10.833/2003                                         |             |           |             |
|905  |Material de defesa, classificado nas posições          |-            |01/2011    |             |
|     |87.10.00.00 e 89.06.10.00 da TIPI, além de partes,     |             |           |             |
|     |peças, componentes, ferramentais, insumos, equipamentos|             |           |             |
|     |e matérias-primas a serem empregados na sua            |             |           |             |
|     |industrialização, montagem, manutenção, modernização e |             |           |             |
|     |conversão                                              |             |           |             |
|906  |Equipamentos de controle de produção, inclusive        |-            |01/2011    |             |
|     |medidores de vazão, condutivímetros, aparelhos para    |             |           |             |
|     |controle, registro, gravação e transmissão dos         |             |           |             |
|     |quantitativos medidos, quando adquiridos por pessoas   |             |           |             |
|     |jurídicas legalmente obrigadas à sua utilização        |             |           |             |
|907  |Valores pagos ou creditados pelos Estados, Distrito    |-            |01/2011    |             |
|     |Federal e Municípios relativos ao ICMS e ao ISS, no    |             |           |             |
|     |âmbito de programas de concessão de crédito voltados ao|             |           |             |
|     |estímulo à solicitação de documento fiscal na aquisição|             |           |             |
|     |de mercadorias e serviços                              |             |           |             |
|908  |Vendas de mercadorias destinadas ao consumo ou à       |-            |01/2011    |             |
|     |industrialização na Zona Franca de Manaus - ZFM        |             |           |             |
|909  |Vendas de mercadorias destinadas ao consumo ou à       |-            |01/2011    |             |
|     |industrialização nas Áreas de Livre Comércio - ALC,    |             |           |             |
|     |exceto quando tiver como destinatárias pessoas         |             |           |             |
|     |jurídicas atacadistas e varejistas, sujeitas ao regime |             |           |             |
|     |de apuração não cumulativa da Contribuição para o      |             |           |             |
|     |PIS/Pasep e da Cofins                                  |             |           |             |
|910  |Vendas de matérias-primas, produtos intermediários e   |-            |01/2011    |             |
|     |materiais de embalagem, produzidos na Zona Franca de   |             |           |             |
|     |Manaus para emprego em processo de industrialização por|             |           |             |
|     |estabelecimentos industriais ali instalados e consoante|             |           |             |
|     |projetos aprovados pelo SUFRAMA                        |             |           |             |
|911  |Receitas financeiras, inclusive decorrentes de         |-            |01/2011    |             |
|     |operações realizadas para fins de hedge, auferidas     |             |           |             |
|     |pelas pessoas jurídicas sujeitas ao regime de          |             |           |             |
|     |incidência não-cumulativa                              |             |           |             |
|912  |Aquisição no mercado interno ou a importação, de forma |-            |01/2011    |             |
|     |combinada ou não, de mercadoria equivalente à empregada|             |           |             |
|     |ou consumida na industrialização de produto exportado  |             |           |             |
|     |(Drawback Reposição de Estoque), inclusive:            |             |           |             |
|     |I - à empregada em reparo, criação, cultivo ou         |             |           |             |
|     |atividade extrativista de produto já exportado; e      |             |           |             |
|     |II - para industrialização de produto intermediário    |             |           |             |
|     |fornecido diretamente a empresa industrial-exportadora |             |           |             |
|     |e empregado ou consumido na industrialização de produto|             |           |             |
|     |final já exportado.                                    |             |           |             |
|913  |Projetores para exibição cinematográfica, classificados|-            |30/09/2011 |             |
|     |no código 9007.2 da NCM, e suas partes e acessórios,   |             |           |             |
|     |classificados no código 9007.9 da NCM                  |             |           |             |
|914  |Receita decorrente da venda de águas minerais naturais |2201.10.00 Ex|18/09/2012 |             |
|     |comercializadas em recipientes com capacidade nominal  |01 e Ex 02   |           |             |
|     |inferior a 10 (dez) litros ou igual ou superior a 10   |             |           |             |
|     |(dez) litros classificadas no código 2201.10.00 Ex 01 e|             |           |             |
|     |Ex 02 da Tipi, aprovada pelo Decreto no 7.660, de 23 de|             |           |             |
|     |dezembro de 2011.                                      |             |           |             |
|915  |Concessões de geração, transmissão e distribuição de   |-            |04/04/2013 |             |
|     |energia elétrica - Valor da indenização correspondente |             |           |             |
|     |às parcelas dos investimentos vinculados a bens        |             |           |             |
|     |reversíveis, ainda não amortizados ou não depreciados, |             |           |             |
|     |conforme art. 8º, § 4º, da Lº 12.783/2013.             |             |           |             |
|916  |Concessões de geração, transmissão e distribuição de   |-            |04/04/2013 |             |
|     |energia elétrica - Valor da indenização correspondente |             |           |             |
|     |às parcelas dos investimentos vinculados a bens        |             |           |             |
|     |reversíveis, ainda não amortizados ou não depreciados, |             |           |             |
|     |conforme art. 15, § 9º, da Lei nº 12.783/2013.         |             |           |             |
|917  |Valores efetivamente recebidos exclusivamente a título |-            |10/10/2013 |             |
|     |da subvenção extraordinária aos produtores fornecedores|             |           |             |
|     |independentes de cana-de-açúcar afetados por condições |             |           |             |
|     |climáticas adversas referentes à safra 2011/2012 na    |             |           |             |
|     |Região Nordeste.                                       |             |           |             |
|918  |Receita decorrente da venda de bebidas frias,          |2106.90.10 Ex|01/05/2015 |             |
|     |classificadas nos códigos 2106.90.10 Ex02; 22.01       |02;          |           |             |
|     |(exceto os Ex 01 e Ex 02 do código 2201.10.00); 22.02  |22.01 (exceto|           |             |
|     |(exceto os Ex 01, Ex 02 e Ex 03 do código 2202.90.00); |os Ex 01 e Ex|           |             |
|     |e 22.02.90.00 Ex 03 e 22.03 da TIPI, quando auferida   |02 do código |           |             |
|     |pela pessoa jurídica varejista, assim considerada, a   |2201.10.00); |           |             |
|     |pessoa jurídica cuja receita decorrente de venda de    |22.02 (exceto|           |             |
|     |bens e serviços a consumidor final no ano-calendário   |os Ex 01, Ex |           |             |
|     |imediatamente anterior ao da operação houver sido igual|02 e Ex 03 do|           |             |
|     |ou superior a 75% (setenta e cinco por cento) de sua   |código       |           |             |
|     |receita total de venda de bens e serviços no mesmo     |2202.90.00); |           |             |
|     |período, depois de excluídos os impostos e             |e 22.02.90.00|           |             |
|     |contribuições incidentes sobre a venda.                |Ex 03 e 22.03|           |             |
|919  |Receita auferida na venda de pneumáticos e câmaras de  |             |20/01/2015 |             |
|     |ar de borracha para bicicletas classificados nos       |             |           |             |
|     |códigos 4011.50.00 e 4013.20.00 da Tipi, quando        |             |           |             |
|     |efetuada por PJ fabricante que utilizar no processo de |             |           |             |
|     |industrialização, em estabelecimentos implantados na   |             |           |             |
|     |ZFM, de acordo com o processo produtivo básico fixado  |             |           |             |
|     |em legislação específica, borracha natural produzida   |             |           |             |
|     |por extrativismo não madeireiro na Região Norte        |             |           |             |
|920  |Perse - Programa Emergencial de Retomado do Setor de   |             |03/2022    |             |
|     |Eventos.                                               |             |           |             |
|     |- Resultado auferido pelas pessoas jurídicas de que    |             |           |02/2027      |
|     |trata o art. 2º da Lei 14.148, de 3 da maio de 2021,   |             |           |             |
|     |atualizada pelos artigos vetados pelo Presidente da    |             |           |             |
|     |República, mantido pelo Congresso Nacional e publicado |             |           |             |
|     |na Edição Extra B do DOU de 18/3/2022.                 |             |           |             |
|     |                                                       |             |           |             |
|999  |Código genérico - Operações tributáveis a alíquota zero|-            |01/2011    |             |
|     |                                                       |             |           |             |


OBS:
     I. As tabelas da EFD-Contribuições foram construídas com base na
        legislação vigente do PIS e da COFINS. Dessa forma, em diversos
        casos a legislação não atribui a um código NCM específico o
        tratamento tributário, assim são listados somente os códigos que se
        amoldam ao texto legal. Ou seja, a ausência de determinado código
        da NCM nas tabelas da EFD-Contribuições não significa que aquele
        código não possa receber o tratamento tributário de determinada
        tabela da EFD-Contribuições.
    II. *Observar que  entre  o  período  de  01/03/2021  a  11/03/2022,  o
        contribuinte deve utilizar somente o código 219  para  GLP*  quando
        destinado ao uso doméstico e envasado em recipientes de  até  treze
        quilogramas. A partir de 11/03/2022,  data  da  publicação  da  Lei
        Complementar nº 192, até 31/12/2022, o contribuinte  pode  utilizar
        tanto o código 219 (específico), como o 222 (geral).



II. Legislação de Referência:
GRUPO 100 - INSUMOS E PRODUTOS AGROPECUÁRIOS
Código 101: Lei nº 10.925/2004, art. 1º, I
Código 102: Lei nº 10.925/2004, art. 1º, II
Código 103: Lei nº 10.925/2004, art. 1º, III
Código 104: Lei nº 10.925/2004, art. 1º, IV
Código 105: Lei nº 10.925/2004, art. 1º, V
Código 106: Lei nº 10.925/2004, art. 1º, VI
Código 107: Lei nº 10.925/2004, art. 1º, VII
Código 108: Lei nº 10.925/2004, art. 1º, IX
Código 109: Lei nº 10.925/2004, art. 1º, X
Código 110: Lei nº 10.925/2004, art. 1º, XI
Código 111: Lei nº 10.925/2004, art. 1º, XII
Código 112: Lei nº 10.925/2004, art. 1º, XIII e § 1º.
Código 113: Lei nº 10.925/2004, art. 1º, XIV e § 1º, atualizado pelo art.
9º da Lei nº 12.766/2012 e art. 15 da Lei nº 12.839/2013.
Código 114: Lei nº 10.925/2004, art. 1º, XV e § 1º, atualizado pelo art. 9º
da Lei nº 12.766/2012 e art. 15 da Lei nº 12.839/2013.
Código 115: Lei nº 10.925/2004, art. 1º, XVI, atualizado pelo art. 9º da
Lei nº 12.766/2012 e art. 15 da Lei nº 12.839/2013.
Código 116: Lei nº 10.865/2004, art. 28, III
Código 117: Lei nº 10.865/2004, art. 28, III
Código 118: Lei nº 10.865/2004, art. 28, V
Código 119: Lei nº 10.925/2004, art. 1º, XVIII, com vigência definida pela
Medida Provisória nº 582/2012 e art. 15 da Lei nº 12.839/2013.
Código 120: Lei nº 10.925/2004, art. 1º, XII, com a redação dada pela Lei
nº 12.655/2012
Códigos 121 a 130: Medida Provisória nº 609/2013, art. 1º


GRUPO 200 - INFRAESTRUTURA: AERONAVES, EMBARCAÇÕES, OUTROS VEÍCULOS,
COMBUSTÍVES
Código 201: Lei nº 10.865/2004, art. 28, IV
Código 202: Lei nº 10.865/2004, art. 28, IV
Código 203: Lei nº 9.718/1998, art. 5, §1º
Código 204: Lei nº 9.718/1998, art. 5, §1º
Código 205: Lei nº 10.312/2001, art. 2º
Código 206: Decreto nº 5.297/2004, art. 4º, §1º, III
Código 207: Lei nº 10.485/2002, art. 2º
Código 208: Decreto nº 6.644/2008, art. 1º
Código 209: Decreto nº 6.644/2008, art. 1º
Código 210: Lei nº 10.865/2004, art. 28, X
Código 211: Lei nº 10.865/2004, art. 28, XI
Código 212: Lei nº 10.312/2001, art. 1º
Código 213: Lei nº 10.865/2004, Art. 28, XX, incluído pela Lei 12.350, de
2010
Código 214: Medida Provisória nº 617/2013, art. 1º e Lei nº 12.860/2013,
art. 1º
Código 215: Lei nº 13.043/2013, Arts. 81 e 113
Código 216: Art. 5º da Lei 9.718/98 e Decreto 6.573/2008 e alterações
posteriores. Art. 4º, III da MP Nº 1.163/2023
Código 216: Art. 5º, §1º, inc. IV, introduzido pela LC/214/2025.
Códigos 217, 218 e 219: Art. 4º da Lei nº 9.718/98; Decreto nº 5.059/2004 e
suas alterações
Códigos 217, 218, 219, 220, 221, 222: LC nº 192/2022
Códigos 217, 218, 220 e 222: Art. 1º, incisos I, II e III, c/c art. 3º,
incisos, II, IV e II, da MP nº 1.157 de 1º de janeiro de 2023.
Códigos 217 e 218 MP nº 1.157 (vigência encerrado no dia 1º de junho de
2023) de 1º de janeiro de 2023 e Lei nº 14.592/2023.
Código 220: Decreto nº 10.527/2020 e alterações posteriores, especialmente:
 Dec nº 11.902/2024; nº 12.923/2026 e nº 12.991/2026
Código 221: Art. 4º, inc. I c/c seu §1º, inc. I, da MP nº 1.157, de 1º de
janeiro de 2023.
Código 221: Art. 2º, incisos I e §1º, incisos I, todos da Medida Provisória
nº 1.163/2023.
Código 223: Lei nº 10.865, inciso XXXVII, alterada pela Lei nº 13.169/2015;
INRFB nº 1.911/2019, art. 98.
Código 224: Lei Complementar 192/2022, Art. 9º-B, alterada pela Lei
Complementar 194/2022
Código 224: Art 4º, inc. II, c/c seu §1º, inc. II, da MP nº 1.157, de 1º de
janeiro de 2023
Código 224: Art. 2º, incisos II e §1º, incisos II, todos da Medida
Provisória nº 1.163/2023.
Código 225: Lei complementar 192/2022, Art. 9º-A e Parágrafo Primeiro,
alterada pela Lei Complementar 194/2022
Código 225: Art. 3º, inc. I c/c art. 2º, inc. I, da MP nº 1.157/2023
Código 226: Lei complementar 194/2022, Art. 13 e Parágrafo Primeiro.
Código 226: Art. 3º, inc. V, c/c art. 2º, inc. II, da MP nº 1.157/2023
Código 227: MP Nº 1.147/2022, Art. 2º, §§ 1º e 2º
Código 228: Lei nº 14.902/2024, art. 29, § 10º.
Código 229: Decreto nº 10.527/2020 e alterações posteriores, especialmente:
 Dec nº 11.902/2024; nº 12.923/2026 e nº 12.991/2026



GRUPO 300 - SAÚDE: PRODUTOS QUIMICOS, APARELHOS ORTOPÉDICOS, PRODUTOS
DESTINADOS A PORTADORES DE NECESSIDADES ESPECIAIS, OUTROS
Código 301: Decreto nº 5.171/2004, art. 6º-B
Código 302: Lei nº 10.865/2004, Art. 28, XV
Código 303: Lei nº 10.865/2004, Art. 28, XVI
Código 304: Lei nº 10.865/2004, Art. 28, XVII
Código 305: Lei nº 10.865/2004, Art. 28, XVIII
Código 306: Decreto nº 6.426/2008, art. 1º
Código 307: Decreto nº 6.426/2008, art. 1º
Código 308: Decreto nº 6.426/2008, art. 1º
Código 309: Lei nº 10.865/2004, Art. 28, XXII incluído pela MP 549, de
2011, convertida na Lei nº 12.649/2012
Código 310: Lei nº 10.865/2004, Art. 28, XXIII, incluído pela MP 549, de
2011, convertida na Lei nº 12.649/2012
Código 311: Lei nº 10.865/2004, Art. 28, XXIV, incluído pela MP 549, de
2011, convertida na Lei nº 12.649/2012
Código 312: Lei nº 10.865/2004, Art. 28, XXV, incluído pela MP 549, de
2011, convertida na Lei nº 12.649/2012
Código 313: Lei nº 10.865/2004, Art. 28, XXVI incluído pela MP 549, de
2011, convertida na Lei nº 12.649/2012
Código 314: Lei nº 10.865/2004, Art. 28, XXVII, incluído pela MP 549, de
2011, convertida na Lei nº 12.649/2012
Código 315: Lei nº 10.865/2004, Art. 28, XXVIII, incluído pela MP 549, de
2011, convertida na Lei nº 12.649/2012
Código 316: Lei nº 10.865/2004, Art. 28, XXIX, incluído pela MP 549, de
2011, convertida na Lei nº 12.649/2012
Código 317: Lei nº 10.865/2004, Art. 28, XXX, incluído pela MP 549, de
2011, convertida na Lei nº 12.649/2012
Código 318: Lei nº 10.865/2004, Art. 28, XXXI incluído pela MP 549, de
2011, convertida na Lei nº 12.649/2012
Código 319: Lei nº 10.865/2004, Art. 28, XXXII, incluído pela MP 549, de
2011, convertida na Lei nº 12.649/2012
Código 320: Lei nº 10.865/2004, Art. 28, XXXIII, incluído pela Lei nº
12.649/2012
Código 321: Lei nº 10.865/2004, Art. 28, XXXIV, incluído pela Lei nº
12.649/2012
Código 322: Lei nº 10.865/2004, Art. 28, XXXV, incluído pela Lei nº
12.649/2012
Código 323: Lei nº 13.043/2013, Arts. 70 e 113
Código 324: Decreto nº 10.318/2020, Art. 1º



GRUPO 400 - INFORMÁTICA, PADIS, PATVD
Código 401: Lei nº 11.196/2005, art. 28 e Decreto nº 6.023/2007 - Revogado
pelas MP 690/2015 e Lei nº 13.241/2015.
Código 402: Lei nº 11.196/2005, art. 28 e Decreto nº 6.023/2007 - Revogado
pelas MP 690/2015 e Lei nº 13.241/2015.
Código 403: Lei nº 11.196/2005, art. 28 e Decreto nº 6.023/2007 - Revogado
pelas MP 690/2015 e Lei nº 13.241/2015.
Código 404: Lei nº 11.196/2005, art. 28 e Decreto nº 6.023/2007 - Revogado
pelas MP 690/2015 e Lei nº 13.241/2015.
Código 405: Lei nº 11.484/2007, arts. 1º a 11 e Decreto nº 6.233/2007
Código 406: Lei nº 11.484/2007, arts. 12 a 22 e Decreto nº 6.234/2007
Código 407: Lei nº 11.196/2005, art. 28, inciso VI, incluído pela lei
12.507/2011. - Revogado pelas MP 690/2015 e Lei nº 13.241/2015.
Código 408: Lei nº 11.196/2005, art. 28, inciso V e Decretos nº 5.602/2005
e 12.715/2012 - Revogado pelas MP nº 690/2015 e Lei nº 13.241/2015.
Código 409: Lei nº 11.196/2005, art. 28, inciso VII, incluído pela Lei nº
12.715/2012 e Decreto nº 5.602/2005 - Revogado pelas MP nº 690/2015 e Lei
nº 13.241/2015.
Código 410: Lei nº 11.196/2005, art. 28, inciso VIII, incluído pela Lei nº
12.715/2012 e Decreto nº 5.602/2005 - Revogado pelas MP nº 690/2015 e  Lei
nº 13.241/2015.
Código 411: Lei nº 11.196/2005, art. 28, § 2º. - Revogado pelas MP nº
690/2015 e Lei nº 13.241/2015.
Código 412: Lei nº 11.196/2005, art. 28, § 3º. - Revogado pelas MP nº
690/2015 e Lei nº 13.241/2015
Código 413 e 414: Medida Provisória 582/2012

GRUPO 900 - DEMAIS PRODUTOS
Código 901: Lei nº 10.865/2004, ART. 28, I
Código 902: Lei nº 10.865/2004, ART. 28, II
Código 903: Lei nº 10.865/2004, ART. 28, VI
Código 904: Lei nº 10.865/2004, ART. 28, VII
Código 905: Lei nº 10.865/2004, Art. 28, XII
Código 906: Lei nº 10.865/2004, Art. 28, XIII
Código 907: Lei nº 11.945/2009, Art. 5º
Código 908: Lei nº 10.996/2004, art. 2º
Código 909: Lei nº 10.996/2004, art. 2º c/c Lei nº 12.350/2010, art. 59
Código 910: Lei nº 10.637/2002, Art. 5º-A
Código 911: Lei nº 10.865/2004, art. 27, § 2º e Decreto nº 5.442/2005
Código 912: Lei nº 12.350/2010, art. 31
Código 913: Lei nº 10.865/2004, Art. 28, XXI, incluído pela MP 545/2011,
convertida na Lei nº 12.599/2012.
Código 914: Lei nº 12.715/2012, Art. 76.
Códigos 915 e 916: Medida Provisória nº 612/2013.
Código 917: Lei nº 12.865/2013, Art. 4º.
Código 918: Lei nº 13.097/2015, Art. 28.
Código 919: Lei nº 13.097/2015, Art. 147
Código 920: Lei nº 14.148/2021, Art. 4º., atualizada pelos artigos vetados
pelo Presidente da República, mantido pelo Congresso Nacional e publicado
na Edição Extra B do DOU de 18/3/2022. Art. 7º, § 2º da IN RFB 2.114/2022

