

4.3.16 - Tabela Operações com Suspensão da Contribuição Social (CST 09) -
Atualizada em 28/04/2026:

|Código |Descrição do Produto                              |NCM              |Início de |Término de|
|       |                                                  |                 |Escrituraç|Escrituraç|
|       |                                                  |                 |ão        |ão        |
|       |                                                  |                 |Mês/Ano   |Mês/Ano   |
|       |Venda no mercado interno de máquinas, aparelhos,  |                 |          |          |
|       |instrumentos e equipamentos novos e de materiais  |                 |          |          |
|       |de construção para utilização ou incorporação nas |                 |          |          |
|       |obras civis abrangidas no projeto de implantação, |                 |          |          |
|       |ampliação ou modernização de redes de             |                 |          |          |
|       |telecomunicações que suportam acesso à Internet em|                 |          |          |
|       |banda larga.                                      |                 |          |          |
|       |Venda de serviços destinados às obras civis       |                 |          |          |
|       |abrangidas no projeto acima referido.             |                 |          |          |
|317    |RETID - Regime Especial Tributário para a         |                 |30/09/2011|          |
|       |Indústria de Defesa                               |                 |          |          |
|       |Venda de bens de defesa nacional, quando a        |                 |          |          |
|       |aquisição for efetuada por pessoa jurídica        |                 |          |          |
|       |beneficiária do Retid                             |                 |          |          |
|       |Venda ou importação de serviços de tecnologia     |                 |          |          |
|       |industrial básica, projetos, pesquisa,            |                 |          |          |
|       |desenvolvimento e inovação tecnológica,           |                 |          |          |
|       |assistência técnica e transferência de tecnologia,|                 |          |          |
|       |destinados a empresas beneficiárias do Retid      |                 |          |          |
|318    |REIF - Regime Especial de Incentivo ao            |                 |21/09/2012|          |
|       |Desenvolvimento da Infraestrutura da Indústria de |                 |          |          |
|       |Fertilizantes                                     |                 |          |          |
|       |Venda no mercado interno ou de importação de      |                 |          |          |
|       |serviços, máquinas, aparelhos, instrumentos e     |                 |          |          |
|       |equipamentos, novos, e de materiais de construção |                 |          |          |
|       |para utilização ou incorporação no projeto        |                 |          |          |
|       |aprovado para implantação ou ampliação de         |                 |          |          |
|       |infraestrutura para produção de fertilizantes e de|                 |          |          |
|       |seus insumos, para incorporação ao seu ativo      |                 |          |          |
|       |imobilizado, bem como a receita decorrente da     |                 |          |          |
|       |locação de máquinas, aparelhos, instrumentos e    |                 |          |          |
|       |equipamentos a pessoa jurídica beneficiária do    |                 |          |          |
|       |REIF, para utilização na execução do projeto      |                 |          |          |
|319    |Vendas de mercadorias e a prestação de serviços   |                 |01/01/2013|31/12/2017|
|       |ocorridas no mercado interno para as pessoas      |                 |          |          |
|       |jurídicas mencionadas no § 2o do art. 4o da Lei nº|                 |          |          |
|       |12.780/2013, destinadas exclusivamente à          |                 |          |          |
|       |organização ou à realização dos Jogos Olímpicos de|                 |          |          |
|       |2016 e dos Jogos Paraolímpicos de 2016.           |                 |          |          |
|320    |REPETRO-Industrialização                          |                 |19/07/2019|          |
|       |Venda no mercado interno de matérias-primas,      |                 |          |          |
|       |produtos intermediários e materiais de embalagem  |                 |          |          |
|       |para serem utilizados integralmente no processo de|                 |          |          |
|       |industrialização de produto final destinado às    |                 |          |          |
|       |atividades de exploração, de desenvolvimento e de |                 |          |          |
|       |produção de petróleo, de gás natural e de outros  |                 |          |          |
|       |hidrocarbonetos fluidos à PJ habilitada no        |                 |          |          |
|       |Repetro-Industrialização.                         |                 |          |          |
|321    |REPETRO-SPED                                      |                 |19/07/2019|          |
|       |Venda dos produtos finais destinados às atividades|                 |          |          |
|       |de exploração, de desenvolvimento e de produção de|                 |          |          |
|       |petróleo, de gás natural e de outros              |                 |          |          |
|       |hidrocarbonetos fluidos previstas na Lei nº 9.478,|                 |          |          |
|       |de 6 de agosto de 1997 , na Lei nº 12.276, de 30  |                 |          |          |
|       |de junho de 2010, e na Lei nº 12.351, de 22 de    |                 |          |          |
|       |dezembro de 2010, por fabricantes desses,         |                 |          |          |
|       |beneficiários do Repetro-Industrialização, quando |                 |          |          |
|       |diretamente adquiridos por pessoa jurídica        |                 |          |          |
|       |habilitada no Repetro ou no Repetro-Sped.         |                 |          |          |
|400    |OUTROS PRODUTOS E SERVIÇOS                        |                 |          |          |
|401    |Receitas de Fretes e de transporte multimodal,    |-                |01/2011   |          |
|       |contratadas por pessoa jurídica preponderantemente|                 |          |          |
|       |exportadora, para transporte no mercado interno de|                 |          |          |
|       |produtos com suspensão ou destinados a Exportação.|                 |          |          |
|402    |Venda de cana-de-açúcar, classificada na posição  |-                |01/2011   |          |
|       |12.12 da Nomenclatura Comum do Mercosul - NCM,    |                 |          |          |
|       |efetuada para pessoa jurídica produtora de álcool,|                 |          |          |
|       |inclusive para fins carburantes, tributada no     |                 |          |          |
|       |regime de não cumulatividade.                     |                 |          |          |
|403    |Venda de óleo combustível, tipo bunker, MF -      |-                |01/2011   |          |
|       |Marine Fuel, classificado no código 2710.19.22,   |                 |          |          |
|       |óleo combustível, tipo bunker, MGO - Marine Gás   |                 |          |          |
|       |Oil, classificado no código 2710.19.21 e óleo     |                 |          |          |
|       |combustível, tipo bunker, ODM - Óleo Diesel       |                 |          |          |
|       |Marítimo, classificado no código 2710.19.21,      |                 |          |          |
|       |quando destinados à navegação de cabotagem e de   |                 |          |          |
|       |apoio portuário e marítimo, para a pessoa jurídica|                 |          |          |
|       |previamente habilitada                            |                 |          |          |
|404    |Acetona classificada no código 2914.11.00 da      |-                |01/2011   |          |
|       |Tabela de Incidência do Imposto sobre Produtos    |                 |          |          |
|       |Industrializados - Tipi, destinada à produção de  |                 |          |          |
|       |monoisopropilamina (Mipa) utilizada na elaboração |                 |          |          |
|       |de defensivos agropecuários classificados na      |                 |          |          |
|       |posição 38.08 da Tipi                             |                 |          |          |
|405    |Desperdícios, resíduos ou aparas de plástico, de  |39.15, 47.07,    |01/2011   |22/04/2026|
|       |papel ou cartão, de vidro, de ferro ou aço, de    |70.01, 72.04,    |          |          |
|       |cobre, de níquel, de alumínio, de chumbo, de zinco|74.04, 75.03,    |          |          |
|       |e de estanho, e demais desperdícios e resíduos    |76.02, 78.02,    |          |          |
|       |metálicos do Capítulo 81 da Tipi, quando vendidos |79.02, 80.02,    |          |          |
|       |para pessoa jurídica que apure o imposto de renda |81019700         |          |          |
|       |com base no lucro real.                           |81029700,        |          |          |
|       |                                                  |81033000,        |          |          |
|       |                                                  |81042000,        |          |          |
|       |                                                  |81043000         |          |          |
|       |                                                  |81053000,        |          |          |
|       |                                                  |81060090         |          |          |
|       |                                                  |81073000,        |          |          |
|       |                                                  |81083000         |          |          |
|       |                                                  |81093000,        |          |          |
|       |                                                  |81102000         |          |          |
|       |                                                  |81110090,        |          |          |
|       |                                                  |81121300         |          |          |
|       |                                                  |81122200,        |          |          |
|       |                                                  |81125200         |          |          |
|       |                                                  |81129200,        |          |          |
|       |                                                  |81130090         |          |          |
|406    |Venda de produtos à pessoa jurídica sediada no    |-                |01/2011   |          |
|       |exterior, com contrato de entrega no território   |                 |          |          |
|       |nacional, de insumos destinados à                 |                 |          |          |
|       |industrialização, por conta e ordem da            |                 |          |          |
|       |encomendante sediada no exterior, de máquinas e   |                 |          |          |
|       |veículos classificados nas posições 87.01 a 87.05 |                 |          |          |
|       |da TIPI                                           |                 |          |          |
|407    |Vendas a empresa sediada no exterior, para entrega|-                |01/2011   |          |
|       |em território nacional, de material de embalagem a|                 |          |          |
|       |ser totalmente utilizados no acondicionamento de  |                 |          |          |
|       |mercadoria destinada à exportação para o exterior |                 |          |          |
|408    |Venda de máquinas e equipamentos classificados na |-                |01/2011   |          |
|       |posição 84.39, utilizados na fabricação de papéis |                 |          |          |
|       |destinados à impressão de jornais ou de papéis    |                 |          |          |
|       |classificados nos códigos 4801.00.10, 4801.00.90, |                 |          |          |
|       |4802.61.91, 4802.61.99, 4810.19.39 e 4810.22.90,  |                 |          |          |
|       |todos da Tipi, destinados à impressão de          |                 |          |          |
|       |periódicos, quando os referidos bens forem        |                 |          |          |
|       |adquiridos por pessoa jurídica industrial para    |                 |          |          |
|       |incorporação ao seu ativo imobilizado             |                 |          |          |
|409    |As aquisições no mercado interno e nas importações|                 |11/03/2022|31/12/2022|
|       |de petróleo efetuadas por refinarias para a       |                 |          |          |
|       |produção de combustíveis. LC 194/22               |                 |          |          |
|409    |As aquisições no mercado interno e nas importações|                 |01/01/2023|28/02/2023|
|       |de petróleo efetuadas por refinarias para a       |                 |          |          |
|       |produção de combustíveis. MP 1.157/23             |                 |          |          |
|409    |As aquisições no mercado interno e nas importações|                 |01/03/2023|31/12/2023|
|       |de petróleo efetuadas por refinarias para a       |                 |          |          |
|       |produção de combustíveis. MP 1.163/23             |                 |          |          |
|410    |Aquisições dos insumos naftas, com Nomenclatura   |2710.12.49       |11/03/2022|31/12/2022|
|       |Comum do Mercosul/Sistema Harmonizado - NCM/SH    |2707.99.90       |          |          |
|       |2710.12.49, outras misturas (aromáticos), NCM/SH  |2710.19.99       |          |          |
|       |2707.99.90, óleo de petróleo parcialmente         |2709.00.10       |          |          |
|       |refinado, NCM 2710.19.99, outros óleos brutos de  |2921.42.90       |          |          |
|       |petróleo ou minerais (condensados), NCM           |                 |          |          |
|       |2709.00.10, e N-Metilanilina, NCM/SH 2921.42.90.  |                 |          |          |
|       |LC 194/22                                         |                 |          |          |
|410    |Aquisições dos insumos naftas, com Nomenclatura   |2710.12.49       |01/01/2023|28/02/2023|
|       |Comum do Mercosul/Sistema Harmonizado - NCM/SH    |2707.99.90       |          |          |
|       |2710.12.49, outras misturas (aromáticos), NCM/SH  |2710.19.99       |          |          |
|       |2707.99.90, óleo de petróleo parcialmente         |2709.00.10       |          |          |
|       |refinado, NCM 2710.19.99, outros óleos brutos de  |2921.42.90       |          |          |
|       |petróleo ou minerais (condensados), NCM           |                 |          |          |
|       |2709.00.10, e N-Metilanilina, NCM/SH 2921.42.90.  |                 |          |          |
|       |MP 1.157/23                                       |                 |          |          |
|410    |Aquisições dos insumos naftas, com Nomenclatura   |2710.12.49       |01/03/2023|31/12/2023|
|       |Comum do Mercosul/Sistema Harmonizado - NCM/SH    |2707.99.90       |          |          |
|       |2710.12.49, outras misturas (aromáticos), NCM/SH  |2710.19.99       |          |          |
|       |2707.99.90, óleo de petróleo parcialmente         |2709.00.10       |          |          |
|       |refinado, NCM 2710.19.99, outros óleos brutos de  |2921.42.90       |          |          |
|       |petróleo ou minerais (condensados), NCM           |                 |          |          |
|       |2709.00.10, e N-Metilanilina, NCM/SH 2921.42.90.  |                 |          |          |
|       |MP 1.163/23                                       |                 |          |          |
|900    |DEMAIS OPERAÇÕES COM SUSPENSÃO                    |                 |          |          |
|901    |Doações em espécie recebidas por instituições     |-                |01/2011   |          |
|       |financeiras públicas controladas pela União e     |                 |          |          |
|       |destinadas a ações de prevenção, monitoramento e  |                 |          |          |
|       |combate ao desmatamento, inclusive programas de   |                 |          |          |
|       |remuneração por serviços ambientais, e de promoção|                 |          |          |
|       |da conservação e do uso sustentável dos biomas    |                 |          |          |
|       |brasileiros, na forma estabelecida pelo Decreto nº|                 |          |          |
|       |6.565, de 15 de setembro de 2008                  |                 |          |          |
|999    |Outras operações com suspensão                    |-                |01/2011   |          |

* A data refere-se ao 1o (primeiro) dia do 4o (quarto) mês subsequente à
data de publicação da MP 563/2012. A produção de efeitos inicia a partir de
sua regulamentação.

OBS: Legislação de Referência:
1. Grupo 100 - MATÉRIAS-PRIMAS, PRODUTOS INTERMEDIÁRIOS E MATERIAIS DE
EMBALAGEM:
Código 101: art. 40 da Lei nº 10.865/04.
Código 102: art. 40-A da Lei nº 10.865/04.
Código 103: art. 12 da Lei nº 11.945/2009 e Portaria Conjunta RFB/Secex nº
467, de 25/03/2010
Código 104: art. 12, § 1º, I, da Lei nº 11.945/2009 e Portaria Conjunta
RFB/Secex nº 467, de 25/03/2010
Código 105: art. 12, § 1º, III, da Lei nº 11.945/2009 e Portaria Conjunta
RFB/Secex nº 467, de 25/03/2010
Código 106: art. 12-A, caput e §1º, da Lei nº 11.945, atualizada pela Lei
nº 14.440/2022.

2. Grupo 200 - AGROINDUSTRIA:
Códigos 201-205: Art. 9º da Lei nº 10.925/04 e IN SRF 660/2004
Código 206: Art. 15º da Lei nº 10.925/2004
Códigos 207: Art. 32 da Lei nº 12.058/2009, alterado pelas Leis nº
12.350/2010, nº 12.431/2011 e pela MP nº 609/2013.
Códigos 208: Art. 32 da Lei nº 12.058/2009, revogado pela Lei nº
12.839/2013.
Código 209: Art. 54 da Lei nº 12.350/2010
Código 210: Art. 4º da MP 545/2011, convertida na Lei nº 12.599/2012
Código 211: Art. 47-A da Lei 12.546/2011
Código 212: Art. 14 da MP 582/2012
Código 213: Art. 29 da Lei nº 12.865/2013

3. Grupo 300 - REGIMES ESPECIAIS
Código 301: Arts. 1º a 11 da Lei nº 11.196/2005, Decreto nº 5.712/06,
Decreto nº 5.713/06 e IN SRF nº 630/06
Código 302: Arts. 12 a 16 da Lei nº11.196/2005, Decreto nº 5.649/05,
Decreto nº 5.788/06, Decreto nº 5.789/06 e a IN SRF nº 605, de 2006
Código 303: Arts. 1º a 5º da Lei nº 11.488/2007; Decreto nº 6.144/2007; IN
SRF nº 758/2007
Código 304: Arts. 1º a 5º da Lei nº 12.249/2010; Decreto nº 7.320/2010
Código 305: Arts. 13 a 16 da Lei nº 11.033/2004, Decreto nº 6.582/2004; IN
SRF nº 879/2008
Código 306: Arts. 7º a 14 da Lei nº 12.249/2010, Decreto nº 7.243/2010
Código 307: Arts. 29 a 33 da Lei nº 12.249/2010
Código 308: Arts. 17 a 21 da Lei nº 12.350/2010 (conversão da MP nº 497) e
Decreto nº 7.319/2010
Código 309: Arts. 14 e 14-A Lei nº 10.865/2004
Código 310: Arts. 6º-A Lei nº 11.508/2007
Código 311: Art. 15 Lei nº 12.350/2010
Código 312: Art. 14, § 2º, Lei nº 10.865, de 2004, arts. 423 a 426 do
Decreto 6.759, de 2009, IN RFB nº 757, de 2007
Código 313: Art. 14, Lei nº 10.865, de 2004, arts. 427 a 430 do Decreto
6.759, de 2009
Código 314: Arts. 12 a 14 da Lei nº 12.599/2012
Código 315: Arts. 15 a 23 da MP nº 563/2012, convertida na Lei nº
12.715/2012, Decreto nº 7.750/2012
Código 316: Arts. 24 a 29 da MP nº 563/2012, convertida na Lei nº
12.715/2012
Código 317: Arts. 7 a 11 da Lei 12.598/2012
Código 318: Arts. 7º a 11 da MP 582/2012
Código 319: Art. 14 da Lei nº 12.780/2013
Código 320: Art. 6º da Lei 13.586/2017, Decreto 9.537/2018, Art. 9º da IN
RFB 1.901/2019
Código 321: Art. 6º da Lei 13.586/2017, Decreto 9.537/2018, Art. 10 da IN
RFB 1.901/2019

4. Grupo 400 - DEMAIS PRODUTOS E SERVIÇOS:
Código 401: § 6º-A. do art. 40 da Lei nº 10.865/2004
Código 402: art. 11 da Lei nº 11.727/2008
Código 403: Art. 2º da Lei nº 11.774/2008
Código 404: art. 25 da Lei nº 11.727/2008
Código 405: art. 48 da Lei nº 11.196/2005, na redação dada pela Lei nº
15.394, de 22/04/2026.
Código 406: art. 38 da Lei nº 10.865/2004
Código 407: art. 49 da Lei nº 11.196/2005; Decreto nº 6.127, de 2007
Código 408: art. 55 da Lei nº 11.196/2005; Decreto nº 5.653/2005, Decreto
nº 5.881/2006 e IN SRF nº 675/2006.
Código 409: § 6º, do art. 9º, da LC 192/22, alterado pela LC 194/22.
Código 409: Caput do art. 5º, da MP 1.157/2023
Código 409: Caput do art. 6º, da MP 1.163/2023
Código 410: § 7º, do art. 9º, da LC 192/22, alterada pela LC 194/22.
Código 410: §1º, do art. 5º, da MP 1.157/2023.
Código 410: §1º, do art. 6º, da MP 1.163/2023.
5. Grupo 900 - DEMAIS OPERAÇÕES COM SUSPENSÃO
Código 901: Lei nº 11.828/2008 e Decreto nº 6.565/2008


