

4.3.16 - Tabela Operações com Suspensão da Contribuição Social (CST 09) -
Atualizada em 28/04/2026:

|Código |Descrição do Produto                              |NCM              |Início de |Término de|
|       |                                                  |                 |Escrituraç|Escrituraç|
|       |                                                  |                 |ão        |ão        |
|       |                                                  |                 |Mês/Ano   |Mês/Ano   |
|       |01.05, classificadas no código 2309.90) e nos     |                 |          |          |
|       |códigos 0504.00, 0701.90.00, 0702.00.00,          |                 |          |          |
|       |0706.10.00, 07.08, 0709.90, 07.10, 07.12 a 07.14  |                 |          |          |
|       |(exceto os códigos 0713.33.19, 0713.33.29 e       |                 |          |          |
|       |0713.33.99), 1701.11.00, 1701.99.00, 1702.90.00,  |                 |          |          |
|       |18.01, 18.03, 1804.00.00, 1805.00.00, 20.09 e     |                 |          |          |
|       |2209.00.00.                                       |                 |          |          |
|202    |Insumos de origem vegetal, utilizados na          |-                |10/10/2013|          |
|       |fabricação de produtos destinados à alimentação   |                 |          |          |
|       |humana ou animal, classificados na NCM capítulos 2|                 |          |          |
|       |(exceto os códigos 02.01, 02.02, 02.03,           |                 |          |          |
|       |0206.10.00, 0206.20, 0206.21, 0206.29, 0206.30.00,|                 |          |          |
|       |0206.4, 02.07, 0210.1), 3 (exceto os produtos     |                 |          |          |
|       |vivos desse capítulo), 4, 8 a 12 (exceto os       |                 |          |          |
|       |produtos classificados nos códigos 12.01 e        |                 |          |          |
|       |1208.10.00), 15 (exceto o código 0901.1,          |                 |          |          |
|       |1502.00.1), 16 e 23 (exceto os produtos           |                 |          |          |
|       |classificados nos códigos 2304.00 e 2309.10.00,   |                 |          |          |
|       |bem como as preparações dos tipos utilizados na   |                 |          |          |
|       |alimentação de animais vivos classificados nas    |                 |          |          |
|       |posições 01.03 e 01.05, classificadas no código   |                 |          |          |
|       |2309.90) e nos códigos 0504.00, 0701.90.00,       |                 |          |          |
|       |0702.00.00, 0706.10.00, 07.08, 0709.90, 07.10,    |                 |          |          |
|       |07.12 a 07.14 (exceto os códigos 0713.33.19,      |                 |          |          |
|       |0713.33.29 e 0713.33.99), 1701.11.00, 1701.99.00, |                 |          |          |
|       |1702.90.00, 18.01, 18.03, 1804.00.00, 1805.00.00, |                 |          |          |
|       |20.09 e 2209.00.00.                               |                 |          |          |
|203    |Soja e seus derivados classificados nos Capítulos |-                |01/2011   |09/10/2013|
|       |12, 15 e 23, todos da TIPI                        |                 |          |          |
|204    |Venda de cerealista que exerça cumulativamente as |-                |01/2011   |          |
|       |atividades de limpar, padronizar, armazenar e     |                 |          |          |
|       |comercializar os produtos in natura de origem     |                 |          |          |
|       |vegetal, classificados nos códigos 09.01, 10.01 a |                 |          |          |
|       |10.08, (exceto os dos códigos 1006.20 e 1006.30,  |                 |          |          |
|       |12.01 e 18.01) da NCM.                            |                 |          |          |
|205    |Venda a granel de leite in natura, efetuada por   |-                |01/2011   |          |
|       |pessoa jurídica que exerça cumulativamente as     |                 |          |          |
|       |atividades de transporte e resfriamento deste     |                 |          |          |
|       |produto                                           |                 |          |          |
