





   Tabela 4.3.11 - Produtos Sujeitos a Alíquotas por Unidade de Medida de
   Produto: Incidência Monofásica ou por Pauta (Bebidas Frias) - (CST 03 e
   04)


|      |Descrição do Produto     |NCM                  |Unidade  |Alíquotas          |Início de |Término de|
|Código|                         |                     |de Medida|em Reais           |Escrituraç|Escrituraç|
|      |                         |                     |         |                   |ão        |ão        |
|      |                         |                     |         |                   |Mês/Ano   |Mês/Ano   |
|      |                         |                     |         |PIS/PASEP|COFINS   |          |          |
|      |Formulação de Óleo       |                     |         |         |         |          |          |
|      |Diesel**                 |                     |         |         |         |          |          |
|106   |Correntes Destinadas     |-                    |Metro    |62,61    |288,89   |01/05/2021|10/03/2022|
|      |Exclusivamente à         |                     |Cúbico   |         |         |          |          |
|      |Formulação de Óleo       |                     |         |         |         |          |          |
|      |Diesel****               |                     |         |         |         |          |          |
|106   |Correntes Destinadas     |-                    |Metro    |19,59    |90,41    |05/09/2023|30/09/2023|
|      |Exclusivamente à         |                     |Cúbico   |         |         |          |          |
|      |Formulação de Óleo       |                     |         |         |         |          |          |
|      |Diesel****               |                     |         |         |         |          |          |
|106   |Correntes Destinadas     |-                    |Metro    |23,19    |106,81   |01/10/2023|03/10/2023|
|      |Exclusivamente à         |                     |Cúbico   |         |         |          |          |
|      |Formulação de Óleo       |                     |         |         |         |          |          |
|      |Diesel****               |                     |         |         |         |          |          |
|106   |Correntes Destinadas     |-                    |Metro    |62,61    |288,89   |01/01/2024|          |
|      |Exclusivamente à         |                     |Cúbico   |         |         |          |          |
|      |Formulação de Óleo       |                     |         |         |         |          |          |
|      |Diesel****               |                     |         |         |         |          |          |
|109   |Biodiesel                |3826.00.00           |Metro    |31,75    |146,20   |01/2012   |27/06/2012|
|      |                         |3826.00.00 Ex 01     |Cúbico   |         |         |          |          |
|109   |Biodiesel ****           |3826.00.00           |Metro    |26,41    |121,59   |28/06/2012|10/03/2022|
|      |                         |3826.00.00 Ex 01     |Cúbico   |         |         |          |          |
|109   |Biodiesel ****           |3826.00.00           |Metro    |9,86     |45,65    |01/10/2023|03/10/2023|
|      |                         |3826.00.00 Ex 01     |Cúbico   |         |         |          |          |
|109   |Biodiesel ****           |3826.00.00           |Metro    |26,41    |121,59   |01/01/2024|06/04/2026|
|      |                         |3826.00.00 Ex 01     |Cúbico   |         |         |          |          |
|110   |Biodiesel de             |3824.90.29           |Metro    |27,0300  |124,4700 |01/2011   |12/2011   |
|      |Matérias-Primas          |3824.90.29 Ex 01     |Cúbico   |         |         |          |          |
|      |Produzidas nas Regiões   |                     |         |         |         |          |          |
|      |Norte, Nordeste e        |                     |         |         |         |          |          |
|      |Semi-Árido               |                     |         |         |         |          |          |
|110   |Biodiesel de             |3826.00.00           |Metro    |27,0300  |124,4700 |01/2012   |27/06/2012|
|      |Matérias-Primas          |3826.00.00 Ex 01     |Cúbico   |         |         |          |          |
|      |Produzidas nas Regiões   |                     |         |         |         |          |          |
|      |Norte, Nordeste e        |                     |         |         |         |          |          |
|      |Semi-Árido               |                     |         |         |         |          |          |
|110   |Biodiesel de             |3826.00.00           |Metro    |22,48    |103,51   |28/06/2012|10/03/2022|
|      |Matérias-Primas          |3826.00.00 Ex 01     |Cúbico   |         |         |          |          |
|      |Produzidas nas Regiões   |                     |         |         |         |          |          |
|      |Norte, Nordeste e        |                     |         |         |         |          |          |
|      |Semi-Árido****           |                     |         |         |         |          |          |
|110   |Biodiesel de             |3826.00.00           |Metro    |7,03     |32,39    |05/09/2023|30/09/2023|
